CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Nợ Ngắn Hạn,Q3 2024,0.62,PIV
Nợ Dài Hạn,Q3 2024,0.00,PIV
VỐN CHỦ SỞ HỮU,Q3 2024,2.06,PIV
Vốn Và Các Quỹ,Q3 2024,2.06,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2024,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2024,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q3 2024,2.68,PIV
TỔNG TÀI SẢN,Q2 2017,483.60,PIV
TÀI SẢN NGẮN HẠN,Q2 2017,358.01,PIV
Tiền Và Tương Đương Tiền,Q2 2017,0.38,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2017,0.00,PIV
Các Khoản Phải Thu,Q2 2017,341.92,PIV
"Hàng Tồn Kho, Ròng",Q2 2017,15.23,PIV
Tài Sản Lưu Động Khác,Q2 2017,0.48,PIV
TÀI SẢN DÀI HẠN,Q2 2017,125.59,PIV
Phải Thu Dài Hạn,Q2 2017,0.19,PIV
Tài Sản Cố Định,Q2 2017,4.20,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q2 2017,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q2 2017,0.00,PIV
Đầu Tư Dài Hạn,Q2 2017,120.00,PIV
Tài Sản Dài Hạn Khác,Q2 2017,1.20,PIV
NỢ PHẢI TRẢ,Q2 2017,303.73,PIV
Nợ Ngắn Hạn,Q2 2017,303.73,PIV
Nợ Dài Hạn,Q2 2017,0.00,PIV
VỐN CHỦ SỞ HỮU,Q2 2017,179.87,PIV
Vốn Và Các Quỹ,Q2 2017,179.87,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q2 2017,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q2 2017,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q2 2017,483.60,PIV
TỔNG TÀI SẢN,Q3 2017,500.54,PIV
TÀI SẢN NGẮN HẠN,Q3 2017,375.07,PIV
Tiền Và Tương Đương Tiền,Q3 2017,0.36,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2017,0.00,PIV
Các Khoản Phải Thu,Q3 2017,363.54,PIV
"Hàng Tồn Kho, Ròng",Q3 2017,11.17,PIV
Tài Sản Lưu Động Khác,Q3 2017,0.00,PIV
TÀI SẢN DÀI HẠN,Q3 2017,125.47,PIV
Phải Thu Dài Hạn,Q3 2017,0.19,PIV
Tài Sản Cố Định,Q3 2017,3.99,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2017,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q3 2017,0.00,PIV
Đầu Tư Dài Hạn,Q3 2017,120.00,PIV
Tài Sản Dài Hạn Khác,Q3 2017,1.29,PIV
NỢ PHẢI TRẢ,Q3 2017,318.62,PIV
Nợ Ngắn Hạn,Q3 2017,318.62,PIV
Nợ Dài Hạn,Q3 2017,0.00,PIV
VỐN CHỦ SỞ HỮU,Q3 2017,181.92,PIV
Vốn Và Các Quỹ,Q3 2017,181.92,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2017,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2017,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q3 2017,500.54,PIV
TỔNG TÀI SẢN,Q4 2017,511.85,PIV
TÀI SẢN NGẮN HẠN,Q4 2017,461.14,PIV
Tiền Và Tương Đương Tiền,Q4 2017,0.97,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q4 2017,115.00,PIV
Các Khoản Phải Thu,Q4 2017,333.50,PIV
"Hàng Tồn Kho, Ròng",Q4 2017,11.18,PIV
Tài Sản Lưu Động Khác,Q4 2017,0.49,PIV
TÀI SẢN DÀI HẠN,Q4 2017,50.71,PIV
Phải Thu Dài Hạn,Q4 2017,0.00,PIV
Tài Sản Cố Định,Q4 2017,3.78,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q4 2017,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q4 2017,0.00,PIV
Đầu Tư Dài Hạn,Q4 2017,46.06,PIV
Tài Sản Dài Hạn Khác,Q4 2017,0.87,PIV
NỢ PHẢI TRẢ,Q4 2017,328.80,PIV
Nợ Ngắn Hạn,Q4 2017,328.80,PIV
Nợ Dài Hạn,Q4 2017,0.00,PIV
VỐN CHỦ SỞ HỮU,Q4 2017,183.05,PIV
Vốn Và Các Quỹ,Q4 2017,183.05,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q4 2017,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q4 2017,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q4 2017,511.85,PIV
TỔNG TÀI SẢN,Q1 2018,458.87,PIV
TÀI SẢN NGẮN HẠN,Q1 2018,406.26,PIV
Tiền Và Tương Đương Tiền,Q1 2018,0.76,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q1 2018,0.00,PIV
Các Khoản Phải Thu,Q1 2018,394.03,PIV
"Hàng Tồn Kho, Ròng",Q1 2018,11.18,PIV
Tài Sản Lưu Động Khác,Q1 2018,0.30,PIV
TÀI SẢN DÀI HẠN,Q1 2018,52.61,PIV
Phải Thu Dài Hạn,Q1 2018,0.34,PIV
Tài Sản Cố Định,Q1 2018,3.57,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q1 2018,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q1 2018,0.00,PIV
Đầu Tư Dài Hạn,Q1 2018,48.00,PIV
Tài Sản Dài Hạn Khác,Q1 2018,0.71,PIV
